home_win,home_cur_year_avg_weighted,home_total_points,away_cur_year_avg_weighted,away_total_points,home_last_year_avg,away_last_year_avg,home_two_year_ago_avg,away_two_year_ago_avg,CAF,CONCACAF,CONMEBOL,OFC,UEFA,gdp_pp_diff,rank_diff
2,597.37,1198.19,705.66,1365.63,669.64,597.24,443.99,821.59,0,0,0,0,1,23716.0,5
0,86.9,231.06,861.13,1499.09,140.78,617.76,108.42,771.01,0,0,0,0,0,55214.0,122
0,533.02,811.05,705.66,1365.63,222.8,597.24,349.59,821.59,1,0,0,0,0,-11096.0,27
1,259.89,588.45,413.2,1094.89,350.08,746.69,376.73,500.95,0,0,0,0,0,24932.0,49
1,304.13,919.44,455.3,1227.66,701.98,873.02,524.09,629.1,0,0,1,0,0,7990.0,15
1,845.26,1242.23,574.37,1137.04,272.3,684.51,449.0,603.97,0,0,1,0,0,1045.0,-5
0,813.06,1392.1,821.59,1434.92,820.68,574.37,272.3,684.51,0,0,1,0,0,1045.0,1
1,529.77,1155.88,686.77,1330.63,558.94,442.63,730.75,879.92,0,0,1,0,0,1045.0,6
1,879.22,1544.05,746.52,1344.7,584.7,459.85,796.05,805.97,0,0,1,0,0,1045.0,-4
2,919.87,1496.26,821.59,1434.92,512.98,574.37,702.07,684.51,0,0,1,0,0,6222.0,-1
1,934.24,1621.32,746.69,1361.48,571.17,500.95,949.24,790.3,0,0,1,0,0,6222.0,-4
0,402.61,887.3,699.86,1311.68,594.08,459.85,390.22,861.13,0,0,1,0,0,-3221.0,15
0,288.97,498.62,459.85,1215.28,88.83,805.97,214.83,660.82,0,0,1,0,0,-6912.0,64
0,409.85,626.14,413.2,1094.89,220.83,746.69,229.77,500.95,0,0,0,0,0,2169.0,44
0,442.6,719.89,707.86,1323.23,299.11,455.3,189.56,873.02,0,0,1,0,0,-4670.0,32
0,340.28,683.34,790.3,1420.19,451.05,636.15,185.31,729.69,0,0,0,0,1,19608.0,33
2,369.85,622.71,597.24,1328.16,203.83,821.59,237.99,574.37,0,0,1,0,0,-1113.0,45
2,658.53,1102.61,525.7,1190.83,597.44,707.86,350.18,455.3,0,0,1,0,0,-1113.0,2
2,219.47,521.1,555.48,1207.64,296.49,686.77,262.14,442.63,0,0,1,0,0,-2067.0,61
1,157.56,319.08,117.43,220.61,186.44,106.12,96.97,109.02,0,0,0,0,0,43617.0,-24
1,129.31,282.86,123.61,238.1,174.61,109.58,132.87,116.1,0,0,0,0,0,43617.0,-11
2,82.06,151.59,127.28,219.29,53.22,110.76,76.59,79.05,0,0,0,0,0,20642.0,23
1,15.82,101.63,117.3,228.74,99.64,120.4,25.8,123.12,0,0,0,0,0,9557.0,36
1,93.94,182.44,123.86,230.52,71.74,113.78,94.72,116.23,0,0,0,0,0,9557.0,16
1,239.19,484.31,149.55,263.35,202.48,111.25,287.67,117.92,0,0,0,0,0,-1239.0,-61
1,131.28,206.16,123.86,230.52,29.67,113.78,85.91,116.23,0,0,0,0,0,-1353.0,10
0,89.04,117.09,67.72,182.91,28.67,110.19,19.35,121.21,0,0,0,0,0,-5929.0,28
2,137.7,247.17,110.93,259.0,173.19,178.15,55.82,123.61,0,0,0,0,0,-5929.0,5
0,51.74,124.46,53.06,160.98,87.55,116.86,56.1,123.7,0,0,0,0,0,10949.0,13
1,0.0,87.82,53.06,160.98,86.0,116.86,114.92,123.7,0,0,0,0,0,-7548.0,25
0,0.0,118.95,53.06,160.98,121.26,116.86,152.65,123.7,0,0,0,0,0,10451.0,16
0,246.8,340.6,136.3,255.92,63.75,123.61,63.65,108.3,0,0,0,0,0,-4577.0,-29
0,8.6,72.98,53.06,160.98,73.46,116.86,64.5,123.7,0,0,0,0,0,-862.0,33
0,0.0,62.01,142.11,279.95,86.7,157.57,22.39,114.29,0,0,0,0,0,-862.0,66
1,207.53,424.9,105.12,251.48,234.48,208.01,245.5,67.72,0,0,0,0,0,8395.0,-44
0,142.42,204.8,105.12,251.48,67.47,208.01,49.73,67.72,0,0,0,0,0,-5098.0,11
1,0.0,31.68,142.11,279.95,3.86,157.57,99.17,114.29,0,0,0,0,0,-3221.0,78
2,163.6,252.02,123.61,238.1,0.0,109.58,102.2,116.1,0,0,0,0,0,-7548.0,-5
2,60.44,93.66,137.32,272.36,48.57,153.0,29.75,116.93,0,0,0,0,0,-5539.0,60
1,146.2,220.72,142.11,279.95,112.63,157.57,55.78,114.29,0,0,0,0,0,41598.0,17
2,147.44,298.85,124.7,341.11,151.92,242.23,120.79,173.89,0,0,0,0,0,6382.0,11
2,171.81,342.12,139.58,346.52,140.16,218.43,183.57,173.94,0,0,0,0,0,79463.0,2
2,227.04,393.1,193.88,391.05,118.8,179.82,209.46,259.32,0,0,0,0,0,-28460.0,-2
1,275.78,626.53,160.69,341.55,323.29,146.02,460.1,255.33,0,0,0,0,0,-25434.0,-53
1,47.49,328.54,131.6,346.36,237.59,241.76,246.99,161.15,0,0,0,0,0,4418.0,7
0,85.0,160.83,88.34,319.15,58.58,269.6,119.22,189.26,0,0,0,0,0,-38290.0,40
