home_win,attack_diff,bup_dribbling_diff,bup_passing_diff,bup_speed_diff,cc_crossing_diff,cc_passing_diff,cc_shooting_diff,d_aggresion_diff,d_pressure_diff,d_width_diff,defence_diff,full_age_diff,goalkeeeper_overall_diff,growth_diff,midfield_diff,overall_diff,prestige_diff,start_age_diff,value_euros_millions_diff,wage_euros_thousands_diff,attack_home_defence_away_diff,attack_away_defence_home_diff,cur_year_avg_weighted_diff,cur_year_avg_diff,last_year_avg_weighted_diff,last_year_avg_diff,previous_points_diff,rank_change_diff,rank_diff,three_year_ago_avg_diff,three_year_ago_weighted_diff,total_points_diff,two_year_ago_avg_diff,two_year_ago_weighted_diff
1,11.0,-75.0,20.0,17.0,-5.0,-4.0,33.0,31.0,20.0,28.0,12.0,-0.5500000000000007,15.0,1.589855072463768,9.0,10.0,12.0,-1.0899999999999999,-5.370652173913044,-20.91304347826087,11.0,-12.0,-0.0,-0.0,-0.0,-0.0,244.0,-14.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,8.0,-0.0,25.0,5.0,15.0,-10.0,5.0,10.0,-0.0,5.0,8.0,0.7300000000000004,2.0,-2.9666666666666663,10.0,6.0,2.0,0.46000000000000085,-0.0,-0.0,7.0,-9.0,-0.0,-0.0,-0.0,-0.0,199.0,-1.0,-9.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,9.0,-0.0,-5.0,5.0,-5.0,5.0,-35.0,-0.0,-10.0,-30.0,8.0,-0.029999999999997584,5.0,-1.5,8.0,6.0,4.0,-0.5399999999999991,-0.0,-0.0,8.0,-9.0,-0.0,-0.0,-0.0,-0.0,108.0,1.0,-8.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,10.0,-0.0,-15.0,2.0,5.0,-10.0,-25.0,-30.0,-35.0,-10.0,6.0,0.9700000000000024,9.0,-1.7666666666666666,7.0,6.0,4.0,1.8200000000000003,-0.0,-0.0,9.0,-7.0,-0.0,-0.0,-0.0,-0.0,248.0,-0.0,-12.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,8.0,-0.0,-10.0,-15.0,15.0,5.0,1.0,-0.0,-30.0,-25.0,2.0,0.1999999999999993,-2.0,-1.7199999999999998,6.0,3.0,2.0,-0.2699999999999996,-0.0,-0.0,7.0,-3.0,-0.0,-0.0,-0.0,-0.0,340.0,-1.0,-13.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-3.0,-0.0,25.0,5.0,5.0,-0.0,5.0,10.0,5.0,-15.0,-7.0,0.7600000000000016,-12.0,-0.5259259259259252,-3.0,-5.0,-7.0,-0.4499999999999993,-0.0,-0.0,-4.0,6.0,-0.0,-0.0,-0.0,-0.0,-567.0,7.0,66.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,10.0,-0.0,-15.0,5.0,5.0,5.0,5.0,-30.0,-35.0,5.0,4.0,0.129999999999999,-4.0,-1.133333333333332,7.0,6.0,3.0,0.08999999999999986,-0.0,-0.0,9.0,-5.0,-0.0,-0.0,-0.0,-0.0,148.0,-0.0,-10.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,12.0,-0.0,-0.0,-0.0,10.0,5.0,-0.0,-0.0,10.0,5.0,16.0,-0.4499999999999993,6.0,-1.5735632183908046,12.0,11.0,10.0,0.8200000000000003,-0.0,-0.0,15.0,-13.0,-0.0,-0.0,-0.0,-0.0,503.0,6.0,-55.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,12.0,-0.0,-35.0,-20.0,10.0,20.0,-4.0,-10.0,-20.0,-25.0,10.0,-0.9800000000000004,2.0,-0.326896551724138,8.0,8.0,10.0,0.08999999999999986,-0.0,-0.0,15.0,-7.0,-0.0,-0.0,-0.0,-0.0,654.0,1.0,-53.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,13.0,-36.0,-12.0,21.0,-26.0,20.0,-9.0,10.0,12.0,-9.0,9.0,-2.4099999999999966,-2.0,3.8999999999999995,9.0,10.0,16.0,-2.1799999999999997,-0.0,-0.0,9.0,-13.0,-0.0,-0.0,-0.0,-0.0,360.0,-2.0,-32.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,5.0,-36.0,13.0,1.0,-11.0,17.0,31.0,10.0,2.0,16.0,-0.0,-2.879999999999999,-6.0,5.233333333333333,1.0,3.0,8.0,-2.1799999999999997,-0.0,-0.0,1.0,-4.0,-0.0,-0.0,-0.0,-0.0,148.0,-0.0,-16.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,6.0,-36.0,-12.0,16.0,-36.0,15.0,31.0,-5.0,-8.0,11.0,-0.0,-1.0799999999999983,-10.0,3.8999999999999995,-3.0,2.0,5.0,-0.6400000000000006,-0.0,-0.0,2.0,-4.0,-0.0,-0.0,-0.0,-0.0,110.0,24.0,-33.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,10.0,-0.0,-8.0,-0.0,-23.0,-11.0,-0.0,-24.0,8.0,2.0,11.0,-2.6999999999999993,5.0,-1.5333333333333332,8.0,7.0,8.0,-4.809999999999999,-0.0,-0.0,13.0,-8.0,-0.0,-0.0,-0.0,-0.0,224.0,-0.0,-14.0,-0.0,-0.0,-0.0,-0.0,-0.0
